Codice SAP;Fatturati 2020;Backlog Vendite;Clienti direzionali
7749;1.080.143,08 €;nd;nd
455230;1.079.901,18 €;nd;nd
40014;1.079.180,01 €;nd;nd
10511;1.078.820,27 €;nd;nd
43090;1.073.738,03 €;nd;nd
27027;1.070.897,46 €;nd;nd
6010;1.069.629,94 €;nd;nd
7256;1.067.569,55;nd;nd
11572;1.066.562,14 €;nd;nd
6029;1.066.263,30 €;nd;nd
40150;1.056.139,85 €;nd;nd
24010;1.050.067,83 €;nd;nd
7227;1.049.139,09 €;nd;nd
7251;1.049.139,09 €;nd;nd
31544;1.049.139,09 €;nd;nd
56662;1.049.139,09 €;nd;nd
36844;1.049.139,09 €;nd;nd
7872;1.045.089,69 €;nd;nd
72547;1.043.988,73 €;nd;nd
27523;1.041.902,69 €;nd;nd
32589;1.041.846,42 €;nd;nd
521;1.040.456,29 €;nd;nd
24512;1.035.907,88 €;nd;nd
7537;1.035.511,66 €;nd;nd
7508;1.035.362,86 €;nd;nd
INT088;1.033.718,37 €;nd;nd
32566;1.030.264,95 €;nd;nd
72543;1.025.113,07 €;nd;nd
32565;1.018.502,43 €;nd;nd
36819;1.018.502,43 €;nd;nd
72542;1.018.502,43 €;nd;nd
7911;1.017.765,68 €;nd;nd
31532;1.013.519,62 €;nd;nd
32504;1.009.822,11 €;nd;nd
22505;1.007.181,06 €;nd;nd
27538;1.005.795,21 €;nd;nd
CSE427R0;1.002.741,35 €;nd;nd
CSE428R0;1.002.741,35 €;nd;nd
505;1.002.572,70 €;nd;nd
31504;998.556,93 €;nd;nd
7567;997.308,51 €;nd;nd
56657;996.626,27 €;nd;nd
353488;996.386,62 €;nd;nd
353489;996.013,57 €;nd;nd
CS0053;994.567,95 €;nd;nd
42279;994.496,16 €;nd;nd
CON020;988.197,35 €;nd;nd
36696;986.346,44 €;nd;nd
31537;986.174,11;nd;nd
11035;984.521,69 €;nd;nd
7534;984.405,97 €;nd;nd
26538;984.370,01 €;nd;nd
28503;984.370,01 €;nd;nd
11108;984.370,01 €;nd;nd
7560;982.595,85 €;nd;nd
CST712;977.982,48 €;nd;nd
56009;977.132,63 €;nd;nd
56002;976.708,63 €;nd;nd
36775;976.692,58 €;nd;nd
36777;976.692,58 €;nd;nd
27028;974.679,34 €;nd;nd
22053;974.298,60 €;nd;nd
35503;969.467,67 €;nd;nd
36205;969.379,18 €;nd;nd
36783;969.344,18 €;nd;nd
11515;962.616,56 €;nd;nd
27506;959.692,51 €;nd;nd
7253;952.712,48 €;nd;nd
21509;951.200,76 €;nd;nd
36678;939.756,43 €;nd;nd
21203;938.446,07 €;nd;nd
22090;937.305,29 €;nd;nd
72539;934.554,73 €;nd;nd
INT105;931.617,63 €;nd;nd
DID020;929.200,67 €;nd;nd
42019;924.465,33 €;nd;nd
32516;920.662,19 €;nd;nd
CND470;917.199,85 €;nd;nd
36668;914.001,09 €;nd;nd
39510;911.954,14 €;nd;nd
353481;910.226,10 €;nd;nd
26005;910.172,26 €;nd;nd
24011;909.425,70 €;nd;nd
43570;909.276,10 €;nd;nd
21514;909.126,10 €;nd;nd
26523;909.016,53 €;nd;nd
24506;908.272,37 €;nd;nd
35511;901.937,63 €;nd;nd
32515;894.241,58 €;nd;nd
22072;891.186,07 €;nd;nd
12533;890.699,53 €;nd;nd
36733;890.109,85 €;nd;nd
32597;886.925,94 €;nd;nd
37770;886.925,94 €;nd;nd
36888;886.925,94 €;nd;nd
40119;886.107,03 €;nd;nd
GIU030;880.966,36 €;nd;nd
7556;880.536,25 €;nd;nd
22511;878.989,68 €;nd;nd
33506;878.008,89 €;nd;nd
36526;878.008,89 €;nd;nd
36527;878.008,89 €;nd;nd
43111;875.087,69 €;nd;nd
7951;871.956,94 €;nd;nd
35540;870.793,10 €;nd;nd
24022;870.793,10 €;nd;nd
22050;870.793,10 €;nd;nd
15;870.571,72 €;nd;nd
56022;870.469,51 €;nd;nd
26003;870.027,09 €;nd;nd
453823A;867.273,37 €;nd;nd
7517;860.736,22 €;nd;nd
20508;859.990,97 €;nd;nd
36850S;859.239,45 €;nd;nd
7233;859.106,26 €;nd;nd
72512;857.875,74 €;nd;nd
2702;857.564,45 €;nd;nd
7549;855.436,14 €;nd;nd
7533;854.743,67 €;nd;nd
31529;849.151,49 €;nd;nd
56314;846.684,88 €;nd;nd
33542;846.191,85 €;nd;nd
2804;846.078,11 €;nd;nd
CS0065;841.834,24 €;nd;nd
20544;834.006,68 €;nd;nd
7959;833.135,71 €;nd;nd
501;832.000,85 €;nd;nd
21511;830.191,73 €;nd;nd
452765;825.828,25 €;nd;nd
7320;820.494,46 €;nd;nd
20738;820.419,87 €;nd;nd
20601;817.104,64 €;nd;nd
40035;815.102,20 €;nd;nd
36807;810.790,09 €;nd;nd
30014;810.219,56 €;nd;nd
CTT103;809.013,21 €;nd;nd
CTT102;807.426,71 €;nd;nd
511;801.990,83 €;nd;nd
7729;801.990,83 €;nd;nd
DID827;793.612,07 €;nd;nd
20764;793.612,07 €;nd;nd
QUA019;793.612,07 €;nd;nd
DID826;793.612,07 €;nd;nd
DID823;793.612,07 €;nd;nd
7409;793.612,07 €;nd;nd
INT346;793.612,07 €;nd;nd
7531;792.996,23 €;nd;nd
CAV239;790.242,73 €;nd;nd
20736;787.064,20 €;nd;nd
31514;785.933,48 €;nd;nd
42505;784.940,68 €;nd;nd
12015;782.527,44 €;nd;nd
INT129;781.578,86 €;nd;nd
56988;779.539,35 €;nd;nd
37051;774.597,35 €;nd;nd
31524;773.466,75 €;nd;nd
72513;771.880,20 €;nd;nd
RS0011;770.317,77 €;nd;nd
26508;770.283,02 €;nd;nd
32568;767.759,66 €;nd;nd
EST023;765.065,79 €;nd;nd
10;763.866,70 €;nd;nd
21017;761.154,19 €;nd;nd
57097;759.156,48 €;nd;nd
7955;758.087,89 €;nd;nd
2509;757.935,10 €;nd;nd
7511;754.016,17 €;nd;nd
40232;754.008,62 €;nd;nd
56929;750.456,34 €;nd;nd
56297;749.331,14 €;nd;nd
21510;747.276,88 €;nd;nd
33504;740.512,21 €;nd;nd
36846;740.385,80 €;nd;nd
56952;739.651,47 €;nd;nd
72544;738.053,85 €;nd;nd
22522;737.660,48 €;nd;nd
39221;737.426,24 €;nd;nd
7268;737.178,42 €;nd;nd
46264;737.178,42 €;nd;nd
33507;733.102,52 €;nd;nd
56969;731.767,94 €;nd;nd
72524;730.707,68 €;nd;nd
33503;730.707,68 €;nd;nd
33505;730.707,68 €;nd;nd
7771;730.639,95 €;nd;nd
56554;720.054,61 €;nd;nd
36067;717.542,64 €;nd;nd
31531;712.848,54 €;nd;nd
56296;710.808,06 €;nd;nd
56491;710.207,06 €;nd;nd
GIU023;707.662,61 €;nd;nd
42186;706.650,41 €;nd;nd
21516;700.240,85 €;nd;nd
7559;698.077,71 €;nd;nd
36754;697.753,75 €;nd;nd
7897;695.630,03 €;nd;nd
27540;691.098,74 €;nd;nd
32595A;690.136,58 €;nd;nd
7;688.601,14 €;nd;nd
42501;687.620,48 €;nd;nd
11552;686.796,37 €;nd;nd
7247;685.907,02 €;nd;nd
7547;685.889,29 €;nd;nd
56115;685.289,84 €;nd;nd
20822;685.249,27 €;nd;nd
36699;682.559,65 €;nd;nd
7311;682.081,04 €;nd;nd
32521;682.081,04 €;nd;nd
36689;682.081,04 €;nd;nd
22071;682.081,04 €;nd;nd
36687;682.081,04 €;nd;nd
452374;682.081,04 €;nd;nd
453331;682.081,04 €;nd;nd
56130;682.081,04 €;nd;nd
56153;682.081,04 €;nd;nd
56154;682.081,04 €;nd;nd
CSE621R1;680.876,92 €;nd;nd
56109;679.354,66 €;nd;nd
CON331;678.455,67 €;nd;nd
33546;678.076,95 €;nd;nd
CST045;677.366,35 €;nd;nd
56152;675.769,14 €;nd;nd
72520;675.270,78 €;nd;nd
12517;675.085,10 €;nd;nd
56993;670.493,14 €;nd;nd
454215A;668.889,36 €;nd;nd
454203;668.889,36 €;nd;nd
12523;665.914,69 €;nd;nd
8011;660.992,36 €;nd;nd
PCON007;660.288,87 €;nd;nd
33558;654.065,43 €;nd;nd
INT110;652.767,31 €;nd;nd
INT090;652.074,46 €;nd;nd
20603;651.779,06 €;nd;nd
37571;651.779,06 €;nd;nd
22524;651.779,06 €;nd;nd
451613;651.279,14 €;nd;nd
36827;651.038,80 €;nd;nd
454510;650.224,70 €;nd;nd
22513;648.746,12 €;nd;nd
60500;647.530,45 €;nd;nd
CSE143;647.131,40 €;nd;nd
338470;646.865,41 €;nd;nd
PCON008;646.858,67 €;nd;nd
12003;645.897,75 €;nd;nd
7793;645.425,10 €;nd;nd
CST706;645.040,47 €;nd;nd
56500;643.641,72 €;nd;nd
37514;643.407,80 €;nd;nd
20760;640.639,44 €;nd;nd
37607;640.639,44 €;nd;nd
375301;640.639,44 €;nd;nd
7335;640.639,44 €;nd;nd
42236;640.639,44 €;nd;nd
455112;640.639,44 €;nd;nd
40235;640.401,00 €;nd;nd
RS0014;639.902,86 €;nd;nd
33564;638.158,03 €;nd;nd
RS0031;636.860,75 €;nd;nd
36686;635.492,89 €;nd;nd
32600;623.722,18 €;nd;nd
39060;620.854,50 €;nd;nd
GIU022;618.529,14 €;nd;nd
CTT300;618.056,77 €;nd;nd
32581;617.073,48 €;nd;nd
36852;617.073,48 €;nd;nd
26021;616.250,63 €;nd;nd
CSE589R2;615.471,65 €;nd;nd
32500;615.186,77 €;nd;nd
42280;613.950,81 €;nd;nd
24004;610.388,25 €;nd;nd
27026;605.612,57 €;nd;nd
GIU031;602.555,15 €;nd;nd
CTT267;599.730,02 €;nd;nd
49301;598.384,19 €;nd;nd
26029;591.892,22 €;nd;nd
452671;590.813,72 €;nd;nd
36705;588.283,14 €;nd;nd
32503;584.650,21 €;nd;nd
GIU041;584.632,62 €;nd;nd
449956;584.231,32 €;nd;nd
7866;584.130,03 €;nd;nd
7867;584.130,03 €;nd;nd
353319;584.000,28 €;nd;nd
353318;583.691,08 €;nd;nd
33950;583.409,12 €;nd;nd
22516;583.012,78 €;nd;nd
37574;582.405,38 €;nd;nd
36821;582.405,38 €;nd;nd
11513;582.120,65 €;nd;nd
QUA011;581.318,43 €;nd;nd
36503;579.613,55 €;nd;nd
CND702;579.566,56 €;nd;nd
24502;579.363,19 €;nd;nd
56054;579.363,19 €;nd;nd
39022;577.735,84 €;nd;nd
33531;577.368,14 €;nd;nd
1;575.262,86 €;nd;nd
451693;574.158,57 €;nd;nd
33543;568.469,85 €;nd;nd
338481;567.396,01 €;nd;nd
22500;566.815,00 €;nd;nd
2010;565.517,05 €;nd;nd
56148;564.007,45 €;nd;nd
452161;558.509,52 €;nd;nd
39213;558.509,52 €;nd;nd
42179;558.353,27 €;nd;nd
452382;558.353,27 €;nd;nd
32032;558.353,27 €;nd;nd
CON830;557.605,62 €;nd;nd
INT258;556.986,86 €;nd;nd
21520;554.758,02 €;nd;nd
2803;554.758,02 €;nd;nd
CND984;554.503,46 €;nd;nd
CND981;553.790,72 €;nd;nd
26501;549.834,30 €;nd;nd
56355;549.671,83 €;nd;nd
507;549.664,82 €;nd;nd
S8ZZ21;547.750,75 €;nd;nd
CSE598R0;547.750,75 €;nd;nd
37602;547.750,75 €;nd;nd
CSE586R3;547.750,75 €;nd;nd
72036;547.750,75 €;nd;nd
56623;547.750,75 €;nd;nd
CST708;540.578,37 €;nd;nd
DID018;536.053,19 €;nd;nd
21045;534.154,12 €;nd;nd
56570;532.972,32 €;nd;nd
56571;532.972,32 €;nd;nd
36684;526.879,16 €;nd;nd
PLS006;524.753,06 €;nd;nd
56578;523.033,03 €;nd;nd
CST724;520.740,27 €;nd;nd
RS0120;520.429,24 €;nd;nd
RS0108;518.756,02 €;nd;nd
525;517.193,57 €;nd;nd
56579;510.105,20 €;nd;nd
RS0025;508.600,62 €;nd;nd
11561;506.051,12 €;nd;nd
CAV231;502.719,25 €;nd;nd
36674;498.496,01 €;nd;nd
43109;496.304,73 €;nd;nd
451626;496.233,97 €;nd;nd
36673;493.171,51 €;nd;nd
CST046;490.789,53 €;nd;nd
455220;489.883,03 €;nd;nd
56943;487.114,13 €;nd;nd
30015;487.006,73 €;nd;nd
6023;486.344,84 €;nd;nd
27508;485.444,70 €;nd;nd
33555;483.896,32 €;nd;nd
32553;483.896,32 €;nd;nd
36814;483.896,32 €;nd;nd
32551;483.896,32 €;nd;nd
454362;482.759,10 €;nd;nd
37582;482.583,19 €;nd;nd
37581;482.583,19 €;nd;nd
36669;479.025,60 €;nd;nd
7545;477.893,29 €;nd;nd
7538;477.222,65 €;nd;nd
24507;476.702,40 €;nd;nd
10510;474.444,17 €;nd;nd
7515;472.236,18 €;nd;nd
353314;471.090,36 €;nd;nd
353313;470.905,96 €;nd;nd
56934;469.757,09 €;nd;nd
36839;468.944,12 €;nd;nd
39216;468.210,00 €;nd;nd
36050;467.783,07 €;nd;nd
453340;467.115,84 €;nd;nd
CST716;462.423,21 €;nd;nd
36694;461.929,24 €;nd;nd
42110;461.929,24 €;nd;nd
36851;461.000,37 €;nd;nd
CSE506R2;461.000,37 €;nd;nd
CON302;459.793,98 €;nd;nd
56928;457.078,67 €;nd;nd
CON006;456.099,75 €;nd;nd
56147;455.154,05 €;nd;nd
42074;455.146,45 €;nd;nd
7516;452.257,65 €;nd;nd
43524;451.918,12 €;nd;nd
452564;450.266,45 €;nd;nd
36767;450.266,45 €;nd;nd
56146;450.266,45 €;nd;nd
56144;450.266,45 €;nd;nd
452813;450.266,45 €;nd;nd
7576;450.065,31 €;nd;nd
37552;450.049,62 €;nd;nd
36834;448.487,18 €;nd;nd
12528;447.859,57 €;nd;nd
36853;447.859,57 €;nd;nd
37572;447.859,57 €;nd;nd
7258;447.859,57 €;nd;nd
451607;441.153,14 €;nd;nd
32514;437.192,34 €;nd;nd
39068;435.212,15 €;nd;nd
56589;434.085,76 €;nd;nd
39513;433.771,76 €;nd;nd
42232;433.652,15 €;nd;nd
36511;433.007,22 €;nd;nd
CTT046;432.245,98 €;nd;nd
33500;431.784,78 €;nd;nd
56949;431.784,78 €;nd;nd
451901;431.784,78 €;nd;nd
21518;431.161,99 €;nd;nd
42228;431.161,99 €;nd;nd
12016;431.161,99 €;nd;nd
DID819;430.087,20 €;nd;nd
7966;428.595,76 €;nd;nd
QUA020;428.595,76 €;nd;nd
32584;428.595,76 €;nd;nd
11554;427.730,16 €;nd;nd
20816;427.730,16 €;nd;nd
CSE395R1;427.730,16 €;nd;nd
37560;427.730,16 €;nd;nd
6057;426.937,03 €;nd;nd
CON565;426.458,69 €;nd;nd
56665;425.474,43 €;nd;nd
7578;424.720,65 €;nd;nd
56948;422.783,91 €;nd;nd
31007;421.670,90 €;nd;nd
46273;421.613,53 €;nd;nd
CTT049;420.782,97 €;nd;nd
20721;419.931,07 €;nd;nd
CST710;416.314,84 €;nd;nd
2513;414.916,12 €;nd;nd
7252;414.916,12 €;nd;nd
CST702;412.870,10 €;nd;nd
36675;412.576,59 €;nd;nd
36671;412.576,59 €;nd;nd
CSE590R1;408.234,16 €;nd;nd
56512;406.835,15 €;nd;nd
CSE591R0;405.747,81 €;nd;nd
CST704;401.722,84 €;nd;nd
42181;398.784,88 €;nd;nd
36701;398.094,35 €;nd;nd
56437;396.401,93 €;nd;nd
39098;393.246,97 €;nd;nd
INT084;389.445,47 €;nd;nd
GIU043;389.035,88 €;nd;nd
56937;388.475,27 €;nd;nd
CON054;387.030,58 €;nd;nd
35518;386.250,27 €;nd;nd
CST044;385.830,79 €;nd;nd
FLT018;384.675,65 €;nd;nd
24513;384.468,81 €;nd;nd
72550;378.069,74 €;nd;nd
CST264;375.667,79 €;nd;nd
6044;374.469,00 €;nd;nd
6017;374.459,00 €;nd;nd
TUB895;371.802,00 €;nd;nd
451653;369.879,00 €;nd;nd
453220A;369.660,66 €;nd;nd
451895;367.403,27 €;nd;nd
1010;365.553,40 €;nd;nd
6112;365.265,54 €;nd;nd
454252C;364.983,12 €;nd;nd
72553;364.740,65 €;nd;nd
36867;364.740,65 €;nd;nd
CON338;359.559,76 €;nd;nd
DID803;358.014,59 €;nd;nd
8010;357.116,06 €;nd;nd
7525;353.715,82 €;nd;nd
51080;350.435,82 €;nd;nd
26547;349.613,07 €;nd;nd
7254;348.958,92;nd;nd
CND603;347.695,27 €;nd;nd
452177;347.329,32 €;nd;nd
CST726;346.992,53 €;nd;nd
CND987;345.526,95 €;nd;nd
33951;345.285,41 €;nd;nd
CST722;345.281,22 €;nd;nd
56588;343.922,19 €;nd;nd
GUA165;343.567,89 €;nd;nd
7924;343.018,98 €;nd;nd
7925;343.018,98 €;nd;nd
26516;343.018,98;nd;nd
31001;343.018,98 €;nd;nd
11112;343.018,98 €;nd;nd
11563;343.018,98 €;nd;nd
32585;343.018,98 €;nd;nd
27551;343.018,98 €;nd;nd
26502;343.018,98 €;nd;nd
26552;343.018,98 €;nd;nd
56896;343.018,98 €;nd;nd
12508;343.018,98 €;nd;nd
35554;343.018,98 €;nd;nd
35552;343.018,98 €;nd;nd
37056;343.018,98 €;nd;nd
42541;343.018,98 €;nd;nd
56645;343.018,98 €;nd;nd
7932;343.018,98 €;nd;nd
37057;343.018,98 €;nd;nd
72551;343.018,98 €;nd;nd
32010;343.018,98 €;nd;nd
32577;343.018,98 €;nd;nd
56997;343.018,98 €;nd;nd
56998;343.018,98 €;nd;nd
455021;343.018,98 €;nd;nd
32579;343.018,98 €;nd;nd
56999;343.018,98 €;nd;nd
8005;343.018,98 €;nd;nd
11566;343.018,98 €;nd;nd
26551;343.018,98 €;nd;nd
32587;343.018,98 €;nd;nd
42526;343.018,98 €;nd;nd
32575;343.018,98 €;nd;nd
37592;343.018,98 €;nd;nd
22001;343.018,98 €;nd;nd
CST714;341.235,46 €;nd;nd
42230;338.147,67 €;nd;nd
27522;337.191,15 €;nd;nd
7313;335.867,82 €;nd;nd
37005;335.391,09 €;nd;nd
11568;334.748,41 €;nd;nd
42538;334.748,41 €;nd;nd
7623;334.748,41 €;nd;nd
56964;333.208,32 €;nd;nd
32541;333.208,32 €;nd;nd
36737;333.208,32 €;nd;nd
452533;333.181,84 €;nd;nd
26533;325.017,76 €;nd;nd
43536;320.556,32 €;nd;nd
452143;317.029,26 €;nd;nd
CST720;315.483,84 €;nd;nd
26524;312.038,94 €;nd;nd
39210;310.417,42 €;nd;nd
353434;310.137,37 €;nd;nd
54;309.817,36 €;nd;nd
19500;309.817,36 €;nd;nd
43535;309.817,36 €;nd;nd
7554;309.448,11 €;nd;nd
20766;308.613,11 €;nd;nd
CST132;305.834,58 €;nd;nd
42224;303.150,81 €;nd;nd
GIU053;302.977,36 €;nd;nd
33552;302.295,45 €;nd;nd
37610;302.165,99 €;nd;nd
37603;302.165,99 €;nd;nd
36861;302.165,99 €;nd;nd
57096;301.731,41 €;nd;nd
454344;301.504,78 €;nd;nd
CON004;300.851,33 €;nd;nd
10514;299.742,51 €;nd;nd
454222B;296.927,38 €;nd;nd
7571;294.831,68 €;nd;nd
26532;294.766,21 €;nd;nd
30523;294.766,21 €;nd;nd
37577;290.364,02 €;nd;nd
CST718;289.528,53 €;nd;nd
5022;288.248,19 €;nd;nd
11527;285.936,32 €;nd;nd
451834;284.973,27 €;nd;nd
8;284.889,40 €;nd;nd
37553;283.946,78 €;nd;nd
PCON018;283.177,29 €;nd;nd
EST028;282.936,00 €;nd;nd
33518;282.892,59 €;nd;nd
7568;281.274,31 €;nd;nd
452153;281.041,91 €;nd;nd
TUB020;279.319,24 €;nd;nd
56942;278.968,92 €;nd;nd
451715;278.662,07 €;nd;nd
56546;275.878,50 €;nd;nd
56192;274.782,46 €;nd;nd
33711;274.718,43 €;nd;nd
36543;274.718,43 €;nd;nd
31;274.526,34 €;nd;nd
454931A;274.067,05 €;nd;nd
56454;271.418,56 €;nd;nd
CTT020;271.366,93 €;nd;nd
36875;271.027,75 €;nd;nd
2706;270.838,71 €;nd;nd
56587;270.584,35 €;nd;nd
EST029;260.063,42 €;nd;nd
37576;259.779,85 €;nd;nd
CSE499R1;255.272,17 €;nd;nd
39087;255.101,82 €;nd;nd
26027;253.455,95 €;nd;nd
56515;252.518,00 €;nd;nd
56513;252.518,00 €;nd;nd
7912;250.244,95 €;nd;nd
7914;250.244,95 €;nd;nd
451633;250.244,95 €;nd;nd
12522;249.974,40 €;nd;nd
2005;249.554,88 €;nd;nd
39208;248.547,65 €;nd;nd
452692;248.547,65 €;nd;nd
36640;247.473,27 €;nd;nd
29024;247.473,27 €;nd;nd
36009;247.473,27 €;nd;nd
11001;247.473,27 €;nd;nd
21207;247.473,27 €;nd;nd
7608;247.473,27 €;nd;nd
8038;247.473,27 €;nd;nd
33704;247.473,27 €;nd;nd
20507;247.351,71 €;nd;nd
CON359;247.351,71 €;nd;nd
MP459;245.885,21 €;nd;nd
CST239;245.424,56 €;nd;nd
7965;243.312,09 €;nd;nd
CSE569R2;243.312,09 €;nd;nd
CON462;242.828,97 €;nd;nd
56308;241.303,44 €;nd;nd
21208;237.727,37 €;nd;nd
42229;237.727,37 €;nd;nd
FLT026;236.270,65 €;nd;nd
CST040;235.155,19 €;nd;nd
CST121;235.113,53 €;nd;nd
56902;234.937,52 €;nd;nd
CST106;232.048,54 €;nd;nd
TUB047;231.481,35 €;nd;nd
56901;229.575,45 €;nd;nd
36128;228.960,44 €;nd;nd
CON600;225.745,42 €;nd;nd
CST728;218.688,21 €;nd;nd
CON327;217.615,18 €;nd;nd
CSE593R0;217.387,37 €;nd;nd
11571;217.387,37 €;nd;nd
37583;215.632,74 €;nd;nd
26549;215.632,74 €;nd;nd
RM39K0;214.500,96 €;nd;nd
CST048;213.906,03 €;nd;nd
7962;212.632,24 €;nd;nd
CTT078;212.477,96 €;nd;nd
CON294;209.153,60 €;nd;nd
454243A;207.509,72 €;nd;nd
CST118;207.455,47 €;nd;nd
33545;206.815,32 €;nd;nd
37520;206.815,32 €;nd;nd
13002;206.815,32 €;nd;nd
42277;206.815,32 €;nd;nd
452943A;206.815,32 €;nd;nd
CSE471R1;204.707,00 €;nd;nd
32562;202.976,33 €;nd;nd
FLT017;201.333,13 €;nd;nd
39504;200.897,20 €;nd;nd
39503;200.833,20 €;nd;nd
454430C;200.717,48 €;nd;nd
39223;200.717,48 €;nd;nd
39505;198.049,16 €;nd;nd
453200A;195.569,72 €;nd;nd
7504;195.203,07 €;nd;nd
GHI200;194.996,80 €;nd;nd
TUB216;191.766,94 €;nd;nd
CSE516R1;191.750,32 €;nd;nd
452651;191.709,51 €;nd;nd
56552;190.927,45 €;nd;nd
3;190.714,85 €;nd;nd
7330;190.003,50 €;nd;nd
CST122;187.538,40 €;nd;nd
CST793;187.231,34 €;nd;nd
20777;185.283,67 €;nd;nd
CST262;182.360,38 €;nd;nd
43502;181.154,00 €;nd;nd
7796;175.847,16 €;nd;nd
CST260;173.868,06 €;nd;nd
452252;173.699,57 €;nd;nd
CTT133;169.986,63 €;nd;nd
39517;169.213,91 €;nd;nd
39036;167.356,04 €;nd;nd
27513;166.632,83 €;nd;nd
32595;166.535,00 €;nd;nd
32602;166.470,00 €;nd;nd
454371;165.415,39 €;nd;nd
EST026;165.041,26 €;nd;nd
DID007;164.199,85 €;nd;nd
CND200;163.606,88 €;nd;nd
RM5K60;163.246,64 €;nd;nd
12506;162.878,64 €;nd;nd
37573;162.878,64 €;nd;nd
43503;161.864,98 €;nd;nd
309033;161.864,98 €;nd;nd
56894;161.864,98 €;nd;nd
56893;161.864,98 €;nd;nd
CST739;160.710,05 €;nd;nd
CST268;159.118,84 €;nd;nd
CST172;154.558,72 €;nd;nd
CND718;154.349,43 €;nd;nd
56663;153.883,81 €;nd;nd
RM10K2;153.396,22 €;nd;nd
RM237R;153.396,22 €;nd;nd
RM15R0;153.396,22 €;nd;nd
RM1K05;153.396,22 €;nd;nd
CUS920;153.396,22 €;nd;nd
CST340R;153.396,22 €;nd;nd
13009;153.396,22 €;nd;nd
CTT022;153.265,30 €;nd;nd
452242;153.031,75 €;nd;nd
7528;152.116,46 €;nd;nd
7505;147.301,21 €;nd;nd
56061;145.754,58 €;nd;nd
CST116;145.590,63 €;nd;nd
39048;144.803,98 €;nd;nd
EST038;144.206,03 €;nd;nd
CON835;144.063,42 €;nd;nd
CSE170;144.001,22 €;nd;nd
338483;143.912,29 €;nd;nd
35;141.042,27 €;nd;nd
CST120;139.070,17 €;nd;nd
TRA856;138.778,61 €;nd;nd
451663;136.687,17 €;nd;nd
2550;135.588,60 €;nd;nd
CST105;134.631,87 €;nd;nd
337132;134.524,73 €;nd;nd
20830;134.139,44 €;nd;nd
57100;133.732,27 €;nd;nd
CST057;133.688,21 €;nd;nd
CON008;132.661,32 €;nd;nd
42522;130.891,70 €;nd;nd
7838;129.981,08 €;nd;nd
32571;128.584,50 €;nd;nd
CST270;127.376,12 €;nd;nd
39228;126.170,00 €;nd;nd
56676;126.170,00 €;nd;nd
CSE664R1;126.170,00 €;nd;nd
CST047;123.060,89 €;nd;nd
38;122.853,90 €;nd;nd
CST730;120.552,44 €;nd;nd
27545;119.401,32 €;nd;nd
56545;119.401,32 €;nd;nd
CON550;118.749,18 €;nd;nd
CST700;118.735,30 €;nd;nd
56602;114.750,68 €;nd;nd
32558;114.750,68 €;nd;nd
CST266;112.999,41 €;nd;nd
CST115;112.485,76 €;nd;nd
6062;111.853,54 €;nd;nd
CST049;111.717,91 €;nd;nd
CST134;109.911,57 €;nd;nd
22062;108.516,32 €;nd;nd
CST108;107.894,88 €;nd;nd
CST133;105.488,18 €;nd;nd
CST107;104.892,43 €;nd;nd
1605;104.219,25 €;nd;nd
MP628;102.292,02 €;nd;nd
MP629;102.292,02 €;nd;nd
CON047;102.220,28 €;nd;nd
40230;101.486,74 €;nd;nd
FLT022;101.463,89 €;nd;nd
26543;99.539,51 €;nd;nd
CST258;99.187,76 €;nd;nd
20902;98.474,28 €;nd;nd
CAV236;97.875,41 €;nd;nd
RS0028;97.259,03 €;nd;nd
31543;93.420,50 €;nd;nd
CS0011;93.255,76 €;nd;nd
27518;93.255,76 €;nd;nd
CST110;92.996,38 €;nd;nd
CSE545R2;92.834,87 €;nd;nd
40079;92.635,98 €;nd;nd
CON040;92.228,42 €;nd;nd
CST272;89.366,81 €;nd;nd
56317;89.309,67 €;nd;nd
CST742;88.494,40 €;nd;nd
353436;87.741,60 €;nd;nd
CTT323;87.366,43 €;nd;nd
E2033013;86.674,87 €;nd;nd
451703;86.415,95 €;nd;nd
56660;86.253,16 €;nd;nd
7819;84.940,32 €;nd;nd
39045;84.134,12 €;nd;nd
32601;82.335,05 €;nd;nd
20729;81.398,75 €;nd;nd
RS0040;80.004,86 €;nd;nd
RS0043;80.004,86 €;nd;nd
455240;79.027,19 €;nd;nd
CST743;78.287,37 €;nd;nd
CON11A;74.030,00 €;nd;nd
CST699;73.897,97 €;nd;nd
56590;70.086,88 €;nd;nd
31539;69.377,01 €;nd;nd
12504;68.858,35 €;nd;nd
20001;67.505,48 €;nd;nd
DID805;67.251,35 €;nd;nd
72545;66.097,94 €;nd;nd
330200;57.102,80 €;nd;nd
31516;56.265,31 €;nd;nd
2802;56.265,31 €;nd;nd
CST119;55.305,98 €;nd;nd
MP616;53.980,19 €;nd;nd
56210;53.593,15 €;nd;nd
2900;53.558,17 €;nd;nd
11533;53.120,50 €;nd;nd
CON031;49.621,29 €;nd;nd
CST850;49.526,04 €;nd;nd
18;49.447,71 €;nd;nd
RS0004;49.258,92 €;nd;nd
RS0026;47.186,14 €;nd;nd
22092;47.064,72 €;nd;nd
36742;43.639,80 €;nd;nd
11538;43.376,28 €;nd;nd
RS0101;41.038,82 €;nd;nd
RS0038;41.038,82 €;nd;nd
37614;40.300,00 €;nd;nd
32603;40.300,00 €;nd;nd
INT628;40.300,00 €;nd;nd
