Codice SAP;Fatturati 2020;Backlog Vendite;Clienti direzionali
7751;5.953.732,80 €;nd;nd
7902;5.938.619,34 €;nd;nd
30501;5.897.269,82 €;nd;nd
20758;5.886.351,76 €;nd;nd
11526;5.864.207,69 €;nd;nd
RS0086;5.838.510,26 €;nd;nd
7725;5.831.027,48 €;nd;nd
36508;5.824.047,00 €;nd;nd
7716;5.777.076,66 €;nd;nd
503;5.744.798,08 €;nd;nd
506;5.689.426,80 €;nd;nd
72502;5.648.603,49 €;nd;nd
20520;5.560.057,26 €;nd;nd
7768;5.477.854,84 €;nd;nd
7764;5.430.874,34 €;nd;nd
37516;5.430.313,82 €;nd;nd
27502;5.420.407,97 €;nd;nd
26510;5.414.575,14 €;nd;nd
CSE464R1;5.403.984,38 €;nd;nd
37506;5.375.038,30 €;nd;nd
20734;5.352.916,21 €;nd;nd
21501;5.345.681,85 €;nd;nd
39500;5.285.966,68 €;nd;nd
56228;5.274.719,25 €;nd;nd
7734;5.266.727,03 €;nd;nd
20776;5.253.602,67 €;nd;nd
20526;5.251.596,05 €;nd;nd
7773;5.232.222,99 €;nd;nd
7512;5.226.848,51 €;nd;nd
26518;5.214.796,36 €;nd;nd
56926;5.209.181,81 €;nd;nd
7222;5.179.702,89 €;nd;nd
2800;5.173.851,15 €;nd;nd
42502;5.169.061,33 €;nd;nd
33527;5.157.745,88 €;nd;nd
TUB021;5.148.381,32 €;nd;nd
7732;5.115.736,94 €;nd;nd
36659;5.084.791,97 €;nd;nd
7728;5.066.561,08 €;nd;nd
20806;5.042.130,18 €;nd;nd
37513;5.040.756,26 €;nd;nd
10509;5.033.470,64 €;nd;nd
509;4.971.180,23 €;nd;nd
26522;4.923.090,13;nd;nd
7889;4.851.096,96 €;nd;nd
36634;4.788.384,46 €;nd;nd
35510;4.726.129,93 €;nd;nd
39501;4.724.728,75 €;nd;nd
7744;4.696.246,02 €;nd;nd
DID012;4.683.913,73 €;nd;nd
CSE135R2;4.683.913,73 €;nd;nd
20747;4.645.451,52 €;nd;nd
28500;4.631.535,49 €;nd;nd
56585;4.624.445,03 €;nd;nd
22051;4.598.724,93 €;nd;nd
56095;4.584.912,98 €;nd;nd
31503;4.552.399,15 €;nd;nd
7915;4.541.755,36 €;nd;nd
7225;4.523.678,81 €;nd;nd
512;4.487.753,94 €;nd;nd
CS0064;4.484.027,40 €;nd;nd
20825;4.444.200,27 €;nd;nd
IND009;4.388.466,71 €;nd;nd
32545;4.381.621,48 €;nd;nd
20732;4.370.634,85 €;nd;nd
27505;4.370.513,72 €;nd;nd
22069;4.365.983,62 €;nd;nd
7907;4.354.706,19 €;nd;nd
504;4.320.522,68 €;nd;nd
